OTU_id	A_1	A_2	A_3	A_4	B_1	B_2	B_3	B_4	C_1	C_2	C_3	C_4
OTU1	421	411	505	424	56	55	75	50	50	20	35	25
OTU2	7	209	52	25	309	237	161	229	49	88	30	123
OTU3	116	149	147	200	25	12	24	2	2	12	7	2
OTU4	112	28	14	7	42	10	59	26	15	38	74	16
OTU5	22	13	26	60	28	14	9	31	30	47	80	32
OTU6	143	3	107	23	0	0	1	2	1	6	0	0
OTU7	11	22	11	66	0	0	0	1	23	69	44	9
OTU8	6	21	41	12	11	67	10	71	2	1	4	5
OTU9	0	0	0	0	2	5	2	1	77	55	62	42
OTU10	1	0	0	0	10	11	32	21	315	336	324	326
OTU11	32	7	0	5	16	7	62	25	7	16	26	2
OTU12	2	1	0	0	27	14	46	15	27	11	14	24
OTU13	0	0	0	1	29	24	29	19	0	25	23	4
OTU14	0	1	0	0	2	0	1	0	19	35	19	72
OTU15	0	1	0	0	0	2	17	2	23	8	10	68
OTU16	9	29	53	17	0	0	2	1	0	0	10	0
OTU17	0	7	0	0	0	0	0	1	49	5	44	13
OTU18	1	0	0	0	4	1	0	0	38	18	20	35
OTU19	2	0	1	0	30	14	55	7	1	0	1	0
OTU20	30	6	7	6	1	0	0	0	3	11	31	16
OTU21	0	0	1	0	6	0	54	25	0	3	2	2
OTU22	1	0	0	0	1	0	0	1	30	11	6	43
OTU23	0	0	0	0	1	0	0	0	4	26	36	17
OTU24	0	0	0	0	327	339	319	331	1	3	1	0
OTU25	0	0	0	0	0	11	0	0	15	26	19	10
OTU26	1	11	3	53	0	0	0	0	0	2	1	2
OTU27	9	3	0	0	0	6	0	13	1	12	8	6
OTU28	0	1	1	1	0	6	0	12	2	14	1	16
OTU29	0	0	0	0	1	8	0	0	8	20	3	4
OTU30	0	0	0	0	10	4	5	2	7	2	5	4
OTU31	0	0	0	0	0	0	0	0	6	8	17	6
OTU32	0	0	0	0	0	0	0	0	4	10	5	9
OTU33	1	6	0	7	0	0	0	0	1	7	3	3
OTU34	0	0	0	0	0	0	0	0	23	0	0	4
OTU35	0	0	0	0	0	0	0	0	4	13	8	0
OTU36	1	3	2	6	6	5	2	0	0	0	0	0
OTU37	0	0	0	0	0	0	0	0	13	4	3	3
OTU38	0	0	0	0	0	0	0	0	14	8	0	0
OTU39	0	0	0	0	0	2	0	0	3	12	5	0
OTU40	0	0	0	0	0	0	0	0	11	2	1	7
OTU41	0	0	0	0	1	7	1	1	1	3	6	0
OTU42	1	0	0	0	2	9	0	3	1	3	0	0
OTU43	0	0	0	0	0	1	0	0	1	6	2	9
OTU44	0	0	0	0	5	0	3	1	0	5	5	0
OTU45	0	0	0	0	3	5	9	1	0	0	0	1
OTU46	0	0	0	0	0	0	0	0	17	0	0	0
OTU47	0	0	0	0	0	14	1	0	0	0	1	0
OTU48	0	0	0	0	1	5	5	2	0	0	0	0
OTU49	1	3	8	0	0	0	0	0	0	0	0	0
OTU50	0	0	0	0	0	0	0	0	3	2	1	6
OTU51	0	0	0	0	0	4	0	0	4	0	1	2
OTU52	0	0	0	0	0	0	3	1	0	0	6	0
OTU53	0	0	0	0	0	0	0	0	9	0	0	0
OTU54	0	0	0	0	0	4	0	0	1	1	0	2
OTU55	1	2	0	0	2	0	1	0	0	0	0	0
OTU56	0	1	0	0	0	0	0	0	1	2	1	1
OTU57	0	0	0	0	0	0	0	6	0	0	0	0
OTU58	0	0	0	0	0	0	0	0	3	0	0	0
OTU59	0	0	0	0	0	0	0	0	2	0	0	0
OTU60	0	0	0	0	0	0	0	0	0	0	0	2
