group	type	value	Mean	SD
Negative	Organismal Systems	0.0	857.4743149572649	1053.1176437372178
Negative	Organismal Systems	0.0833	857.4743149572649	1053.1176437372178
Negative	Organismal Systems	0.0	857.4743149572649	1053.1176437372178
Negative	Organismal Systems	0.0	857.4743149572649	1053.1176437372178
Negative	Organismal Systems	0.0	857.4743149572649	1053.1176437372178
Negative	Organismal Systems	0.0	857.4743149572649	1053.1176437372178
Negative	Organismal Systems	0.0	857.4743149572649	1053.1176437372178
Negative	Organismal Systems	0.0	857.4743149572649	1053.1176437372178
Negative	Organismal Systems	0.0	857.4743149572649	1053.1176437372178
Negative	Organismal Systems	0.0	857.4743149572649	1053.1176437372178
Negative	Organismal Systems	0.25	857.4743149572649	1053.1176437372178
Negative	Organismal Systems	0.0	857.4743149572649	1053.1176437372178
Negative	Organismal Systems	0.0833	857.4743149572649	1053.1176437372178
Negative	Organismal Systems	0.0	857.4743149572649	1053.1176437372178
Negative	Organismal Systems	0.0833	857.4743149572649	1053.1176437372178
Negative	Organismal Systems	0.0	857.4743149572649	1053.1176437372178
Negative	Organismal Systems	0.0	857.4743149572649	1053.1176437372178
Negative	Organismal Systems	0.0	857.4743149572649	1053.1176437372178
Negative	Organismal Systems	0.0	857.4743149572649	1053.1176437372178
Negative	Organismal Systems	0.0	857.4743149572649	1053.1176437372178
Negative	Organismal Systems	0.0	857.4743149572649	1053.1176437372178
Negative	Organismal Systems	4.8333	857.4743149572649	1053.1176437372178
Negative	Organismal Systems	0.0	857.4743149572649	1053.1176437372178
Negative	Organismal Systems	0.0	857.4743149572649	1053.1176437372178
Negative	Organismal Systems	0.0	857.4743149572649	1053.1176437372178
Negative	Organismal Systems	0.0	857.4743149572649	1053.1176437372178
Negative	Organismal Systems	0.0	857.4743149572649	1053.1176437372178
Negative	Organismal Systems	0.0	857.4743149572649	1053.1176437372178
Negative	Organismal Systems	0.0	857.4743149572649	1053.1176437372178
Negative	Organismal Systems	0.0833	857.4743149572649	1053.1176437372178
Negative	Organismal Systems	0.0	857.4743149572649	1053.1176437372178
Negative	Organismal Systems	1.4167	857.4743149572649	1053.1176437372178
Negative	Organismal Systems	0.0	857.4743149572649	1053.1176437372178
Negative	Organismal Systems	0.0	857.4743149572649	1053.1176437372178
Negative	Organismal Systems	0.0	857.4743149572649	1053.1176437372178
Negative	Organismal Systems	0.0	857.4743149572649	1053.1176437372178
Negative	Organismal Systems	0.0	857.4743149572649	1053.1176437372178
Negative	Organismal Systems	0.0	857.4743149572649	1053.1176437372178
Negative	Organismal Systems	0.0	857.4743149572649	1053.1176437372178
Negative	Organismal Systems	0.0	857.4743149572649	1053.1176437372178
Negative	Organismal Systems	0.0	857.4743149572649	1053.1176437372178
Negative	Organismal Systems	0.0	857.4743149572649	1053.1176437372178
Negative	Organismal Systems	0.0	857.4743149572649	1053.1176437372178
Negative	Organismal Systems	0.0	857.4743149572649	1053.1176437372178
Negative	Organismal Systems	0.0	857.4743149572649	1053.1176437372178
Negative	Organismal Systems	0.0	857.4743149572649	1053.1176437372178
Negative	Organismal Systems	0.0	857.4743149572649	1053.1176437372178
Negative	Organismal Systems	0.0	857.4743149572649	1053.1176437372178
Negative	Organismal Systems	0.0	857.4743149572649	1053.1176437372178
Negative	Organismal Systems	0.0	857.4743149572649	1053.1176437372178
Negative	Organismal Systems	0.0	857.4743149572649	1053.1176437372178
Negative	Organismal Systems	0.0	857.4743149572649	1053.1176437372178
Negative	Organismal Systems	0.0	857.4743149572649	1053.1176437372178
Negative	Organismal Systems	450.4256	857.4743149572649	1053.1176437372178
Negative	Organismal Systems	0.0	857.4743149572649	1053.1176437372178
Negative	Organismal Systems	0.0	857.4743149572649	1053.1176437372178
Negative	Organismal Systems	1085.0689	857.4743149572649	1053.1176437372178
Negative	Organismal Systems	0.0	857.4743149572649	1053.1176437372178
Negative	Organismal Systems	0.0	857.4743149572649	1053.1176437372178
Negative	Organismal Systems	0.0	857.4743149572649	1053.1176437372178
Negative	Organismal Systems	0.0	857.4743149572649	1053.1176437372178
Negative	Organismal Systems	0.0	857.4743149572649	1053.1176437372178
Negative	Organismal Systems	0.0	857.4743149572649	1053.1176437372178
Negative	Organismal Systems	0.0	857.4743149572649	1053.1176437372178
Negative	Organismal Systems	0.0	857.4743149572649	1053.1176437372178
Negative	Organismal Systems	0.0	857.4743149572649	1053.1176437372178
Negative	Organismal Systems	65.8767	857.4743149572649	1053.1176437372178
Negative	Organismal Systems	0.0	857.4743149572649	1053.1176437372178
Negative	Organismal Systems	0.0	857.4743149572649	1053.1176437372178
Negative	Organismal Systems	0.0	857.4743149572649	1053.1176437372178
Negative	Organismal Systems	0.0	857.4743149572649	1053.1176437372178
Negative	Organismal Systems	228.13	857.4743149572649	1053.1176437372178
Negative	Organismal Systems	0.0	857.4743149572649	1053.1176437372178
Negative	Organismal Systems	0.0	857.4743149572649	1053.1176437372178
Negative	Organismal Systems	0.0	857.4743149572649	1053.1176437372178
Negative	Organismal Systems	0.0	857.4743149572649	1053.1176437372178
Negative	Organismal Systems	0.0	857.4743149572649	1053.1176437372178
Negative	Organismal Systems	0.0	857.4743149572649	1053.1176437372178
Negative	Organismal Systems	859.5223	857.4743149572649	1053.1176437372178
Negative	Organismal Systems	779.9931	857.4743149572649	1053.1176437372178
Negative	Organismal Systems	817.5373	857.4743149572649	1053.1176437372178
Negative	Organismal Systems	708.4842	857.4743149572649	1053.1176437372178
Negative	Organismal Systems	805.2265	857.4743149572649	1053.1176437372178
Negative	Organismal Systems	646.5188	857.4743149572649	1053.1176437372178
Negative	Organismal Systems	920.3977	857.4743149572649	1053.1176437372178
Negative	Organismal Systems	872.9073	857.4743149572649	1053.1176437372178
Negative	Organismal Systems	0.0	857.4743149572649	1053.1176437372178
Negative	Organismal Systems	0.0	857.4743149572649	1053.1176437372178
Negative	Organismal Systems	0.0	857.4743149572649	1053.1176437372178
Negative	Organismal Systems	727.5231	857.4743149572649	1053.1176437372178
Negative	Organismal Systems	808.8977	857.4743149572649	1053.1176437372178
Negative	Organismal Systems	0.0	857.4743149572649	1053.1176437372178
Negative	Organismal Systems	773.4865	857.4743149572649	1053.1176437372178
Negative	Organismal Systems	805.5858	857.4743149572649	1053.1176437372178
Negative	Organismal Systems	742.2781	857.4743149572649	1053.1176437372178
Negative	Organismal Systems	0.0	857.4743149572649	1053.1176437372178
Negative	Organismal Systems	868.4077	857.4743149572649	1053.1176437372178
Negative	Organismal Systems	880.4188	857.4743149572649	1053.1176437372178
Negative	Organismal Systems	921.82	857.4743149572649	1053.1176437372178
Negative	Organismal Systems	855.4888	857.4743149572649	1053.1176437372178
Negative	Organismal Systems	925.3369	857.4743149572649	1053.1176437372178
Negative	Organismal Systems	887.6023	857.4743149572649	1053.1176437372178
Negative	Organismal Systems	771.7377	857.4743149572649	1053.1176437372178
Negative	Organismal Systems	929.6642	857.4743149572649	1053.1176437372178
Negative	Organismal Systems	830.0269	857.4743149572649	1053.1176437372178
Negative	Organismal Systems	907.2823	857.4743149572649	1053.1176437372178
Negative	Organismal Systems	798.0288	857.4743149572649	1053.1176437372178
Negative	Organismal Systems	767.1719	857.4743149572649	1053.1176437372178
Negative	Organismal Systems	501.51	857.4743149572649	1053.1176437372178
Negative	Organismal Systems	0.0	857.4743149572649	1053.1176437372178
Negative	Organismal Systems	769.9538	857.4743149572649	1053.1176437372178
Negative	Organismal Systems	711.9154	857.4743149572649	1053.1176437372178
Negative	Organismal Systems	838.8712	857.4743149572649	1053.1176437372178
Negative	Organismal Systems	766.1754	857.4743149572649	1053.1176437372178
