value	B042D_B04ES2D	B043D_B042D	B043D_B04ES3D	B04ES3D_B04ES2D
1	FALSE	TRUE	FALSE	TRUE
2	TRUE	TRUE	FALSE	FALSE
3	TRUE	FALSE	FALSE	FALSE
4	TRUE	FALSE	FALSE	FALSE
5	FALSE	FALSE	FALSE	TRUE
6	TRUE	FALSE	FALSE	TRUE
7	TRUE	FALSE	FALSE	FALSE
8	TRUE	TRUE	FALSE	TRUE
9	FALSE	TRUE	FALSE	FALSE
10	FALSE	TRUE	FALSE	FALSE
11	TRUE	FALSE	TRUE	FALSE
12	FALSE	TRUE	TRUE	FALSE
13	TRUE	FALSE	TRUE	FALSE
14	TRUE	FALSE	FALSE	FALSE
15	TRUE	FALSE	FALSE	FALSE
16	TRUE	FALSE	FALSE	FALSE
17	TRUE	FALSE	FALSE	FALSE
18	FALSE	TRUE	FALSE	TRUE
19	FALSE	TRUE	FALSE	TRUE
20	FALSE	TRUE	FALSE	TRUE
21	TRUE	FALSE	TRUE	FALSE
22	FALSE	TRUE	FALSE	FALSE
23	FALSE	TRUE	FALSE	FALSE
